1 24 4 13 23 6 15 
20 24 23 28 15 29 21 
33 19 35 8 13 6 4 
21 20 5 15 26 6 32 
27 19 17 24 9 16 29 
19 35 32 26 4 11 7 
28 17 21 13 25 26 12 
7 16 23 27 2 12 14 
22 5 20 17 26 32 25 
1 2 8 22 6 13 30 
17 13 16 14 21 19 24 
20 35 29 18 11 32 12 
1 2 28 10 22 35 3 
34 24 9 8 10 31 22 
5 31 22 29 16 2 17 
17 24 32 4 19 16 22 
15 33 21 11 22 10 20 
18 6 15 11 22 24 28 
6 16 13 32 30 10 23 
13 29 10 35 24 9 2 
9 28 16 10 15 19 7 
29 27 4 19 22 23 8 
8 22 24 27 6 34 16 
31 34 33 23 13 24 17 
27 26 14 25 8 32 3 
5 21 34 1 15 20 4 
15 10 11 27 21 25 13 
25 31 28 33 8 14 23 
30 5 28 15 6 1 24 
5 22 2 3 14 32 31 
26 2 28 17 13 5 19 
24 13 30 16 25 34 32 
3 4 34 26 15 25 6 
10 23 21 13 25 2 18 
8 24 2 28 32 25 3 
34 14 20 13 2 5 27 
32 20 13 11 28 23 14 
10 29 19 30 5 24 33 
24 5 28 6 27 4 13 
28 4 22 34 35 33 24 
